amazon_sku,channel_id, linnworks_code,price_uk, sale_price_uk,,,,,,,,
DUHFPC15SING_FBA,1,DUHFPC15SING,21.99,18.99,,,,,,,,
DUVGFDKID4.5,1,DUVGFDKID4.5,34.99,22.99,,,,,,,,
DUVGFDKID4.5,2,DUVGFDKID4.5,,,,,,,,,,
DUVGFDKID4.5,3,DUVGFDKID4.5,,,,,,,,,,
DUVGFDKID4.5_FBA,1,DUVGFDKID4.5,34.99,27.99,,,,,,,,
DUVPILGFD10.5KID,1,DUVPILGFD10.5KID,59.99,34.99,,,,,,,,
DUVPILGFD10.5KID,2,DUVPILGFD10.5KID,,,,,,,,,,
DUVPILGFD10.5KID,3,DUVPILGFD10.5KID,,,,,,,,,,
DUVPILGFD10.5KID_FBA,1,DUVPILGFD10.5KID,59.99,39.99,,,,,,,,
DUVPILGFD4.5KID,1,DUVPILGFD4.5KID,54.99,29.99,,,,,,,,
DUVPILGFD4.5KID,2,DUVPILGFD4.5KID,,,,,,,,,,
DUVPILGFD4.5KID,3,DUVPILGFD4.5KID,,,,,,,,,,
DUVPILGFD4.5KID_FBA,1,DUVPILGFD4.5KID,54.99,34.99,,,,,,,,
FEDUALL9/4.5SK,1,FEDUALL9/4.5SK,109.99,84.99,,,,,,,,
FEDUALL9/4.5SK,2,FEDUALL9/4.5SK,,,,,,,,,,
FEDUALL9/4.5SK,3,FEDUALL9/4.5SK,,,,,,,,,,
FEDUALL9/4.5SK_FBA,1,FEDUALL9/4.5SK,109.99,89.99,,,,,,,,
FEDUALL9/4.5SV,1,FEDUALL9/4.5S,64.99,52.99,,,,,,,,
FEDUALL9/4.5S_FBA,1,FEDUALL9/4.5S,64.99,57.99,,,,,,,,
GFDUVALLSEA-K,1,GFDUVALLSEA-K,109.99,84.99,,,,,,,,
GFDUVALLSEA-K,2,GFDUVALLSEA-K,,,,,,,,,,
GFDUVALLSEA-K,3,GFDUVALLSEA-K,,,,,,,,,,
GFDUVALLSEA-K_FBA,1,GFDUVALLSEA-K,109.99,89.99,,,,,,,,
1101-FBA,3,1101,,,,,,,,,,
1102-FBA,3,1102,,,,,,,,,,
1104-FBA,3,1104,,,,,,,,,,
1105-FBA,3,1105,,,,,,,,,,
1106-FBA,3,1106,,,,,,,,,,
1109-FBA,3,1109,,,,,,,,,,
1110-FBA,3,1110,,,,,,,,,,
1111,2,1111,,,,,,,,,,
1111,3,1111,,,,,,,,,,
DUCKDWNDUVET8515S,3,DUCKDWNDUVET8515S,,,,,,,,,,
DUHF15SUPERKING,2,DUHF15SUPERKING,,,,,,,,,,
DUHF15SUPERKING,3,DUHF15SUPERKING,,,,,,,,,,
DUHFPC10.5SUPK,2,DUHFPC10.5SUPK,,,,,,,,,,
DUHFPC10.5SUPK,3,DUHFPC10.5SUPK,,,,,,,,,,
DUHFPC10.5SUPK-FBA,3,DUHFPC10.5SUPK,,,,,,,,,,
DUHFPC13.5SING,2,DUHFPC13.5SING,,,,,,,,,,
DUHFPC13.5SING,3,DUHFPC13.5SING,,,,,,,,,,
DUVMFBKID4.5,2,DUVMFBKID4.5,,,,,,,,,,
DUVMFBKID4.5,3,DUVMFBKID4.5,,,,,,,,,,
FEDU10.5D-FBA,3,FEDU10.5D,,,,,,,,,,
FEDU10.5S,2,FEDU10.5SA,,,,,,,,,,
FEDU10.5S,3,FEDU10.5SA,,,,,,,,,,
FEDU10.5SA-FBA,3,FEDU10.5SA,,,,,,,,,,
FEDU13.5KING,2,FEDU13.5KING,,,,,,,,,,
FEDU13.5KING,3,FEDU13.5KING,,,,,,,,,,
FEDU13.5SING-FBA,3,FEDU13.5SING,,,,,,,,,,
FEDU15D-FBA,3,FEDU15D,,,,,,,,,,
FEDU15S-FBA,3,FEDU15S,,,,,,,,,,
FEDU15SK-FBA,3,FEDU15SK,,,,,,,,,,
FEDUALL9/4.5D,2,FEDUALL9/4.5D,,,,,,,,,,
FEDUALL9/4.5D,3,FEDUALL9/4.5D,,,,,,,,,,
FEDUALL9/4.5S,2,FEDUALL9/4.5S,,,,,,,,,,
FEDUALL9/4.5S,3,FEDUALL9/4.5S,,,,,,,,,,
FEDUALL9/4.5S-FBA,3,FEDUALL9/4.5S,,,,,,,,,,
GFDUVALLSEA-D-FBA,3,GFDUVALLSEA-D,,,,,,,,,,
HFDU13.5SK-FBA,3,HFDU13.5SK,,,,,,,,,,
HFDU4.5D-FBA,3,HFDU4.5D,,,,,,,,,,
HFDU4.5K-FBA,3,HFDU4.5K,,,,,,,,,,
HFDU4.5S-FBA,3,HFDU4.5S,,,,,,,,,,
HFDU4.5SK-FBA,3,HFDU4.5SK,,,,,,,,,,
HFDUV-150200-300G,2,HFDUV-150200-300G,,,,,,,,,,
HFDUV-150200-300G,3,HFDUV-150200-300G,,,,,,,,,,
HFDUV-150200-300G-FBA,3,HFDUV-150200-300G,,,,,,,,,,
HFDUV-150200-500G,3,HFDUV-150200-500G,,,,,,,,,,
HFDUV-150200-500G-FBA,3,HFDUV-150200-500G,,,,,,,,,,
HFDUVET15K,3,HFDUVET15K,,,,,,,,,,
HFDUVET15K-FBA,3,HFDUVET15K,,,,,,,,,,
HOLFDUVET15K,2,HFDUVET15K,,,,,,,,,,
HOLFDUVET15K,3,HFDUVET15K,,,,,,,,,,
HSDUGF4501-FBA,3,HSDUGF4501,,,,,,,,,,
HSDUGF4502-FBA,3,HSDUGF4502,,,,,,,,,,
HSDUGF4503-FBA,3,HSDUGF4503,,,,,,,,,,
MFDU4.5D-FBA,3,MFDU4.5D,,,,,,,,,,
MFDU4.5K-FBA,3,MFDU4.5K,,,,,,,,,,
MFDU4.5S-FBA,3,MFDU4.5S,,,,,,,,,,
MFDU4.5SK-FBA,3,MFDU4.5SK,,,,,,,,,,
MFDUALL9/4.5SK,2,MFDUALL9/4.5SK,,,,,,,,,,
MFDUALL9/4.5SK,3,MFDUALL9/4.5SK,,,,,,,,,,
WOOLDUV200D.1,3,WOOLDUV200D,,,,,,,,,,
WOOLDUV200K.1,3,WOOLDUV200K,,,,,,,,,,
WOOLDUV200S.2,3,WOOLDUV200S,,,,,,,,,,
WOOLDUV200SK.1,3,WOOLDUV200SK,,,,,,,,,,
WOOLDUV400D.2,2,WOOLDUV400D,,,,,,,,,,
WOOLDUV400D.2,3,WOOLDUV400D,,,,,,,,,,
WOOLDUV400K.2,2,WOOLDUV400K,,,,,,,,,,
WOOLDUV400K.2,3,WOOLDUV400K,,,,,,,,,,
WOOLDUV400S.4,2,WOOLDUV400S,,,,,,,,,,
